category,item,itemLabel
Category:Communication theorists,http://www.wikidata.org/entity/Q55966239,Bradley S. Greenberg
Category:Communication theorists,http://www.wikidata.org/entity/Q55966577,David Berlo
Category:Communication theorists,http://www.wikidata.org/entity/Q60735950,Timothy R. Levine
Category:Communication theorists,http://www.wikidata.org/entity/Q58851,Karl Bühler
Category:Communication theorists,http://www.wikidata.org/entity/Q58853,Karl-Otto Apel
Category:Social theories,http://www.wikidata.org/entity/Q116789,Boris Parygin
Category:Social theories,http://www.wikidata.org/entity/Q569063,Roberto Mangabeira Unger
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q276090,Elizebeth Smith Friedman
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q457286,Delia Bacon
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q918937,Ignatius L. Donnelly
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q969082,William F. Friedman
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2543934,Walter Conrad Arensberg
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5346368,Edwin Durning-Lawrence
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5363714,Elizabeth Wells Gallup
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5539165,George Fabyan
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5728228,Henry Seymour
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5750019,Hezekiah Lord Hosmer
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6145675,James Wilmot
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6229164,John Denham Parsons
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q7105264,Orville Ward Owen
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q14954633,"James Wilde, 1st Baron Penzance"
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q37388,Francis Bacon
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1027678,Calvin Hoffman
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1235822,Dolly Walker-Wraight
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1607389,Henry Watterson
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1663270,Ingram Frizer
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2158508,Robert Poley
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3308492,Michael Rubbo
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q8000190,Wilbur G. Zeigler
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q28946323,Ros Barber
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q28975,Christopher Marlowe
Category:Derbyite theory of Shakespeare authorship,http://www.wikidata.org/entity/Q318468,Abel Lefranc
Category:Derbyite theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2032636,"William Stanley, 6th Earl of Derby"
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q374210,"Edward de Vere, 17th Earl of Oxford"
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1411615,Richard Kennedy
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1871900,Louis P. Bénézet
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3103888,Gerald Henry Rendall
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3805138,J. Thomas Looney
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q4720341,Alexander Waugh
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q4893447,Bernard Mordaunt Ward
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5075500,"Charles Beauclerk, Earl of Burford"
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5082505,Charles Sidney Beauclerk
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5083669,Charles Wisner Barrell
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5086298,Charlton Greenwood Ogburn
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5086326,Charlton Ogburn
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6287091,Joseph Sobran
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6766543,Mark Anderson
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q7167223,Percy Allen
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q7358963,Roger Stritmatter
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q8008926,William Farina
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q15998953,Montagu William Douglas
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q20657184,Tom Ligon
Category:Theory of computation,http://www.wikidata.org/entity/Q21062845,Ludwig Staiger
Category:Theory of computation,http://www.wikidata.org/entity/Q22958613,Andreas Brandstädt
Category:Information theory,http://www.wikidata.org/entity/Q90586,Karl Küpfmüller
Category:Information theory,http://www.wikidata.org/entity/Q316022,Harry Nyquist
Category:Information theory,http://www.wikidata.org/entity/Q1442951,Frank Benford
Category:Theories of history,http://www.wikidata.org/entity/Q156585,Marc Bloch
Category:Theories of history,http://www.wikidata.org/entity/Q162597,Henri Lefebvre
Category:Theories of history,http://www.wikidata.org/entity/Q170078,Ernest Gellner
Category:Theories of history,http://www.wikidata.org/entity/Q178709,Giambattista Vico
Category:Theories of history,http://www.wikidata.org/entity/Q185105,Fernand Braudel
Category:Theories of history,http://www.wikidata.org/entity/Q185381,Arnold J. Toynbee
Category:Theories of history,http://www.wikidata.org/entity/Q319816,Pitirim Sorokin
Category:Theories of history,http://www.wikidata.org/entity/Q325840,Gerhard Lenski
Category:Theories of history,http://www.wikidata.org/entity/Q494287,Immanuel Wallerstein
Category:Theories of history,http://www.wikidata.org/entity/Q712123,Paul Kennedy
Category:Theories of history,http://www.wikidata.org/entity/Q720443,Carroll Quigley
Category:Theories of history,http://www.wikidata.org/entity/Q4237406,Nikolay Kradin
Category:Theories of history,http://www.wikidata.org/entity/Q16105138,David Kolb
Category:Theories of history,http://www.wikidata.org/entity/Q9235,Georg Wilhelm Friedrich Hegel
Category:Theories of history,http://www.wikidata.org/entity/Q9294,Ibn Khaldun
Category:Theories of history,http://www.wikidata.org/entity/Q12718,Auguste Comte
Category:Theories of history,http://www.wikidata.org/entity/Q34787,Friedrich Engels
Category:Theories of history,http://www.wikidata.org/entity/Q57112,Oswald Spengler
Category:Theories of history,http://www.wikidata.org/entity/Q61082,Karl August Wittfogel
Category:Representation theory,http://www.wikidata.org/entity/Q3575689,Zoghman Mebkhout
Category:Relativity theorists,http://www.wikidata.org/entity/Q115769,Marcel Grossmann
Category:Relativity theorists,http://www.wikidata.org/entity/Q340238,Achilles Papapetrou
Category:Relativity theorists,http://www.wikidata.org/entity/Q445635,Fang Lizhi
Category:Relativity theorists,http://www.wikidata.org/entity/Q726175,Gunnar Nordström
Category:Relativity theorists,http://www.wikidata.org/entity/Q959840,Roy Kerr
Category:Relativity theorists,http://www.wikidata.org/entity/Q1068631,Cornelius Lanczos
Category:Relativity theorists,http://www.wikidata.org/entity/Q1361708,W. G. Unruh
Category:Relativity theorists,http://www.wikidata.org/entity/Q2514703,Vladimir Varićak
Category:Relativity theorists,http://www.wikidata.org/entity/Q2764478,Prahalad Chunnilal Vaidya
Category:Relativity theorists,http://www.wikidata.org/entity/Q3339390,Guang-Jiong Ni
Category:Relativity theorists,http://www.wikidata.org/entity/Q4164781,Ali Moustafa Mosharafa
Category:Relativity theorists,http://www.wikidata.org/entity/Q4719500,Alexander Macfarlane
Category:Relativity theorists,http://www.wikidata.org/entity/Q5006922,C. V. Vishveshwara
Category:Relativity theorists,http://www.wikidata.org/entity/Q5379742,Enrique Loedel Palumbo
Category:Relativity theorists,http://www.wikidata.org/entity/Q7979724,Wei-Tou Ni
Category:Relativity theorists,http://www.wikidata.org/entity/Q16104618,Edmond Bonan
Category:Relativity theorists,http://www.wikidata.org/entity/Q21002310,Raymond McLenaghan
Category:Relativity theorists,http://www.wikidata.org/entity/Q21948515,Emilio Santos Corchero
Category:Relativity theorists,http://www.wikidata.org/entity/Q12998,Georges Lemaître el vergón
Category:Relativity theorists,http://www.wikidata.org/entity/Q41688,Hendrik Lorentz
Category:Theory of value (economics),http://www.wikidata.org/entity/Q63059498,Roberta Rabellotti
Category:Shakespeare authorship theories,http://www.wikidata.org/entity/Q4768884,Anne Whateley
Category:Information theorists,http://www.wikidata.org/entity/Q124194,Edward Kofler
Category:Information theorists,http://www.wikidata.org/entity/Q560858,Vladimir Levenshtein
Category:Information theorists,http://www.wikidata.org/entity/Q737968,Raj Chandra Bose
Category:Information theorists,http://www.wikidata.org/entity/Q873734,Imre Csiszár
Category:Information theorists,http://www.wikidata.org/entity/Q3056621,Jorma Rissanen
Category:Information theorists,http://www.wikidata.org/entity/Q4647201,A.J. Han Vinck
Category:Information theorists,http://www.wikidata.org/entity/Q4663743,Abbas El Gamal
Category:Information theorists,http://www.wikidata.org/entity/Q4746324,Amin Shokrollahi
Category:Information theorists,http://www.wikidata.org/entity/Q5108403,Chris Wallace
Category:Information theorists,http://www.wikidata.org/entity/Q6554584,Linnar Viik
Category:Information theorists,http://www.wikidata.org/entity/Q6836805,Michele Mosca
Category:Information theorists,http://www.wikidata.org/entity/Q7260630,Punya Thitimajshima
Category:Information theorists,http://www.wikidata.org/entity/Q7454442,Sergio Verdú
Category:Information theorists,http://www.wikidata.org/entity/Q15822188,János Körner
Category:Information theorists,http://www.wikidata.org/entity/Q16728971,Hendrik C. Ferreira
Category:Information theorists,http://www.wikidata.org/entity/Q17141861,Ingar Roggen
Category:Information theorists,http://www.wikidata.org/entity/Q21822539,Wojciech Szpankowski
Category:Information theorists,http://www.wikidata.org/entity/Q29265247,Ozgur B. Akan
Category:Information theorists,http://www.wikidata.org/entity/Q59751138,Ioannis Kontoyiannis
Category:Information theorists,http://www.wikidata.org/entity/Q106554532,Peter Gacs
Category:American information theorists,http://www.wikidata.org/entity/Q69412,Rolf Landauer
Category:American information theorists,http://www.wikidata.org/entity/Q92619,Richard Hamming
Category:American information theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon
Category:American information theorists,http://www.wikidata.org/entity/Q92784,David A. Huffman
Category:American information theorists,http://www.wikidata.org/entity/Q92868,Irving S. Reed
Category:American information theorists,http://www.wikidata.org/entity/Q92915,Terry Welch
Category:American information theorists,http://www.wikidata.org/entity/Q92950,Marcel J. E. Golay
Category:American information theorists,http://www.wikidata.org/entity/Q92966,Leonid Levin
Category:American information theorists,http://www.wikidata.org/entity/Q92977,Norman Abramson
Category:American information theorists,http://www.wikidata.org/entity/Q92982,Gustave Solomon
Category:American information theorists,http://www.wikidata.org/entity/Q93052,Robert Fano
Category:American information theorists,http://www.wikidata.org/entity/Q251262,James Massey
Category:American information theorists,http://www.wikidata.org/entity/Q316022,Harry Nyquist
Category:American information theorists,http://www.wikidata.org/entity/Q332701,Peter Elias
Category:American information theorists,http://www.wikidata.org/entity/Q461687,Robert G. Gallager
Category:American information theorists,http://www.wikidata.org/entity/Q529886,Ralph Hartley
Category:American information theorists,http://www.wikidata.org/entity/Q560818,David Slepian
Category:American information theorists,http://www.wikidata.org/entity/Q840535,Robert J. McEliece
Category:American information theorists,http://www.wikidata.org/entity/Q930837,Gregory Chaitin
Category:American information theorists,http://www.wikidata.org/entity/Q1314603,Elwyn Ralph Berlekamp
Category:American information theorists,http://www.wikidata.org/entity/Q1398547,Solomon W. Golomb
Category:American information theorists,http://www.wikidata.org/entity/Q1530048,Edgar Gilbert
Category:American information theorists,http://www.wikidata.org/entity/Q1616033,Peter Lyman
Category:American information theorists,http://www.wikidata.org/entity/Q3123640,Ray Solomonoff
Category:American information theorists,http://www.wikidata.org/entity/Q4661950,Aaron D. Wyner
Category:American information theorists,http://www.wikidata.org/entity/Q4663743,Abbas El Gamal
Category:American information theorists,http://www.wikidata.org/entity/Q4972902,Brockway McMillan
Category:American information theorists,http://www.wikidata.org/entity/Q5228778,Dave Forney
Category:American information theorists,http://www.wikidata.org/entity/Q5300398,Doug Cutting
Category:American information theorists,http://www.wikidata.org/entity/Q5724615,Henry Landau
Category:American information theorists,http://www.wikidata.org/entity/Q5981488,Ian F. Akyildiz
Category:American information theorists,http://www.wikidata.org/entity/Q6195974,Jim K. Omura
Category:American information theorists,http://www.wikidata.org/entity/Q6264925,John Wozencraft
Category:American information theorists,http://www.wikidata.org/entity/Q6390191,Kenneth Harwood
Category:American information theorists,http://www.wikidata.org/entity/Q6951597,N. Ahmed
Category:American information theorists,http://www.wikidata.org/entity/Q7174060,Peter Franaszek
Category:American information theorists,http://www.wikidata.org/entity/Q7340277,Rob Kling
Category:American information theorists,http://www.wikidata.org/entity/Q7347125,Robert M. Gray
Category:American information theorists,http://www.wikidata.org/entity/Q7811770,Toby Berger
Category:American information theorists,http://www.wikidata.org/entity/Q8014766,William Lucas Root
Category:American information theorists,http://www.wikidata.org/entity/Q11103884,Henry O. Pollak
Category:American information theorists,http://www.wikidata.org/entity/Q13989101,Lloyd R. Welch
Category:American information theorists,http://www.wikidata.org/entity/Q14492281,Jack Wolf
Category:American information theorists,http://www.wikidata.org/entity/Q14492353,Michael Luby
Category:American information theorists,http://www.wikidata.org/entity/Q18619548,Alexander Tuzhilin
Category:American information theorists,http://www.wikidata.org/entity/Q20938713,Ed Posner
Category:American information theorists,http://www.wikidata.org/entity/Q28839530,Yuichi Motai
Category:American information theorists,http://www.wikidata.org/entity/Q29354588,Syed Jafar
Category:American information theorists,http://www.wikidata.org/entity/Q29791448,Gary Marchionini
Category:American information theorists,http://www.wikidata.org/entity/Q44192457,Nicole Ellison
Category:American information theorists,http://www.wikidata.org/entity/Q58008994,Muriel Médard
Category:American information theorists,http://www.wikidata.org/entity/Q61698453,Alon Orlitsky
Category:American information theorists,http://www.wikidata.org/entity/Q73161867,Salman A. Avestimehr
Category:American information theorists,http://www.wikidata.org/entity/Q99961458,Joy A. Thomas
Category:Pakistani information theorists,http://www.wikidata.org/entity/Q6932746,Muhammad Suhail Zubairy
Category:Pakistani information theorists,http://www.wikidata.org/entity/Q45250562,S. M. Junaid Zaidi
Category:British information theorists,http://www.wikidata.org/entity/Q92944,David Wheeler
Category:British information theorists,http://www.wikidata.org/entity/Q224372,I. J. Good
Category:British information theorists,http://www.wikidata.org/entity/Q446862,David J. C. MacKay
Category:British information theorists,http://www.wikidata.org/entity/Q706365,Samuel C. Bradford
Category:British information theorists,http://www.wikidata.org/entity/Q836437,Brian Campbell Vickery
Category:British information theorists,http://www.wikidata.org/entity/Q5078327,Charles Goss
Category:British information theorists,http://www.wikidata.org/entity/Q6132896,James Duff Brown
Category:British information theorists,http://www.wikidata.org/entity/Q6390128,Kenneth Garside
Category:British information theorists,http://www.wikidata.org/entity/Q7518373,Simon Buckingham
Category:British information theorists,http://www.wikidata.org/entity/Q15994443,Douglas John Foskett
Category:Japanese information theorists,http://www.wikidata.org/entity/Q93121,Tadao Kasami
Category:Japanese information theorists,http://www.wikidata.org/entity/Q5752362,Hideki Imai
Category:Japanese information theorists,http://www.wikidata.org/entity/Q7690981,Te Sun Han
Category:Swedish information theorists,http://www.wikidata.org/entity/Q2067227,Per Martin-Löf
Category:Argentine information theorists,http://www.wikidata.org/entity/Q930837,Gregory Chaitin
Category:Italian information theorists,http://www.wikidata.org/entity/Q93052,Robert Fano
Category:Italian information theorists,http://www.wikidata.org/entity/Q60734257,Claudio Tommaso Gnoli
Category:French information theorists,http://www.wikidata.org/entity/Q715848,Claude Berrou
Category:French information theorists,http://www.wikidata.org/entity/Q1384896,Marcel-Paul Schützenberger
Category:French information theorists,http://www.wikidata.org/entity/Q1460529,Alain Glavieux
Category:Austrian information theorists,http://www.wikidata.org/entity/Q90302,Gottfried Ungerboeck
Category:Austrian information theorists,http://www.wikidata.org/entity/Q11103884,Henry O. Pollak
Category:Mass media theorists,http://www.wikidata.org/entity/Q76357,Jürgen Habermas
Category:Mass media theorists,http://www.wikidata.org/entity/Q93037,Jay David Bolter
Category:Mass media theorists,http://www.wikidata.org/entity/Q97288,Mercedes Bunz
Category:Mass media theorists,http://www.wikidata.org/entity/Q108405,Jeanette Zwingenberger
Category:Mass media theorists,http://www.wikidata.org/entity/Q108613,Siegfried Zielinski
Category:Mass media theorists,http://www.wikidata.org/entity/Q126003,Wolfgang Ernst
Category:Mass media theorists,http://www.wikidata.org/entity/Q158056,Nam June Paik
Category:Mass media theorists,http://www.wikidata.org/entity/Q167821,Gore Vidal
Category:Mass media theorists,http://www.wikidata.org/entity/Q182847,Jean Baudrillard
Category:Mass media theorists,http://www.wikidata.org/entity/Q184226,Gilles Deleuze
Category:Mass media theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan
Category:Mass media theorists,http://www.wikidata.org/entity/Q219368,Judith Butler
Category:Mass media theorists,http://www.wikidata.org/entity/Q259317,Amy Goodman
Category:Mass media theorists,http://www.wikidata.org/entity/Q259507,bell hooks
Category:Mass media theorists,http://www.wikidata.org/entity/Q262284,Barbara Kruger
Category:Mass media theorists,http://www.wikidata.org/entity/Q298075,Guy Debord
Category:Mass media theorists,http://www.wikidata.org/entity/Q313113,Joseph Kosuth
Category:Mass media theorists,http://www.wikidata.org/entity/Q315897,Genco Gulan
Category:Mass media theorists,http://www.wikidata.org/entity/Q322922,Jacques Ellul
Category:Mass media theorists,http://www.wikidata.org/entity/Q326226,Wolf Vostell
Category:Mass media theorists,http://www.wikidata.org/entity/Q327840,Rammellzee
Category:Mass media theorists,http://www.wikidata.org/entity/Q338363,Thom Hartmann
