"","keyword","tf","df"
"273","Bauer",21,10
"274","Bradford",13,10
"275","Claude Shannon",15,10
"276","Engel",19,10
"277","Feigenbaum",17,10
"278","Fuller",13,10
"279","Hanks",22,10
"280","hooks",13,10
"281","Horowitz",14,10
"282","Jacques Derrida",11,10
"283","Levenshtein",58,10
"284","Michel Foucault",11,10
"285","Montaigne",15,10
"286","Noah Wardrip-Fruin",10,10
"287","Noam Chomsky",11,10
"288","Osborne",10,10
"289","Parsons",26,10
"290","Seneca",15,10
"291","Terry Winograd",11,10
"292","Walter Benjamin",13,10
"293","Walther",10,10
"294","Barber",21,9
"295","Boyle",14,9
"296","Bridges",11,9
"297","Buchanan",10,9
"298","Cherry",13,9
"299","Costa",13,9
"300","Dubois",9,9
"301","Farmer",11,9
"302","Francis Bacon",15,9
"303","Gallagher",15,9
"304","Hamming",20,9
"305","Hanson",11,9
"306","Harding",17,9
"307","Harman",19,9
"308","Hartley",12,9
"309","Hicks",32,9
"310","Hutchinson",14,9
"311","Jakobson",15,9
"312","Lacan",172,9
"313","Lambert",11,9
"314","Lucy",9,9
"315","Marco",13,9
"316","McLeod",9,9
"317","Olson",16,9
"318","Pool",13,9
"319","Roman Jakobson",10,9
"320","Searle",11,9
"321","Steiner",20,9
"322","Thornton",21,9
"323","Webb",37,9
"324","Wong",17,9
"325","Yang",16,9
"326","Adorno",14,8
"327","Boethius",11,8
"328","Delany",13,8
"329","Eisenstein",14,8
"330","Eyman",13,8
"331","Flores",11,8
"332","Forest",11,8
"333","Gilles Deleuze",9,8
"334","Grimm",13,8
"335","Guattari",15,8
"336","Hale",11,8
"337","Hanley",17,8
"338","Hartman",15,8
"339","Kelley",20,8
"340","Levinson",16,8
"341","Marchionini",15,8
"342","Mead",9,8
"343","Mei",11,8
"344","Ore",12,8
"345","Peirce",46,8
"346","Poster",15,8
"347","Quine",11,8
"348","Rao",8,8
"349","Reich",10,8
"350","Rousseau",14,8
"351","Ruiz",11,8
"352","Sartre",21,8
"353","Tanaka",15,8
"354","Thacker",21,8
"355","Zadeh",19,8
"356","Ahmad",7,7
"357","Berman",8,7
"358","Bloch",23,7
"359","Bowman",8,7
"360","Buckingham",17,7
"361","Chisholm",15,7
"362","Christensen",9,7
"363","Ferguson",10,7
"364","Freire",20,7
"365","George Gerbner",16,7
"366","Gill",7,7
"367","Habermas",16,7
"368","Hay",8,7
"369","Hegel",16,7
"370","Hirst",13,7
"371","Jacques Lacan",10,7
"372","Kaufman",9,7
"373","Lange",14,7
"374","Macaulay",10,7
"375","Mandelbrot",14,7
"376","Ni",10,7
"377","Norris",8,7
"378","Northrop Frye",8,7
"379","Orwell",9,7
"380","Parikka",12,7
"381","Reddy",11,7
"382","Samuel Taylor Coleridge",10,7
"383","Schaeffer",10,7
"384","Sharp",10,7
"385","Sherry Turkle",10,7
"386","Wittig",17,7
"387","Youngblood",11,7
"388","Bart",7,6
"389","Bernhard",7,6
"390","Bode",39,6
"391","Bourdieu",14,6
"392","Burnham",15,6
"393","Clemens",9,6
"394","David Bolter",7,6
"395","Epstein",16,6
"396","Fink",20,6
"397","Fitting",7,6
"398","Grossman",8,6
"399","Grundy",7,6
"400","Ho",9,6
"401","Landau",13,6
"402","Landauer",25,6
"403","Marder",6,6
"404","McMillan",7,6
"405","Mumford",7,6
"406","Neal",12,6
"407","Norbert Wiener",7,6
"408","of Cologne",6,6
"409","Powers",6,6
"410","Raymond Williams",11,6
"411","Richter",9,6
"412","Rings",10,6
"413","Schiller",12,6
"414","Shoemaker",8,6
"415","Silverman",11,6
"416","Slide",8,6
"417","Steinberg",9,6
"418","Trier",7,6
"419","Waters",19,6
"420","Abrams",5,5
"421","Ahmed",6,5
"422","Bordwell",19,5
"423","Bruns",8,5
"424","Carey",7,5
"425","Cixous",12,5
"426","Cliff",13,5
"427","Cutting",8,5
"428","Edelman",6,5
"429","Elias",5,5
"430","Faber",9,5
"431","Glover",6,5
"432","Goody",9,5
"433","Han",30,5
"434","Hinton",5,5
"435","John von Neumann",6,5
"436","Jussi Parikka",5,5
"437","Kristeva",10,5
"438","Lai",9,5
"439","Lerdahl",18,5
"440","Loy",5,5
"441","Lyman",5,5
"442","Lyotard",6,5
"443","Massey",7,5
"444","Mayer",12,5
"445","Moravia",6,5
"446","Morse",10,5
"447","Muir",11,5
"448","O'Connor",8,5
"449","Paik",5,5
"450","Paulo Freire",5,5
"451","Pollock",7,5
"452","Popper",15,5
"453","Rissanen",6,5
"454","Rodgers",8,5
"455","Schulz",17,5
"456","Tilton",15,5
"457","Wiggins",8,5
"458","Wolfgang Ernst",7,5
"459","Ainsworth",6,4
"460","Arrow",6,4
"461","Auden",4,4
"462","bell hooks",6,4
"463","Benveniste",12,4
"464","Blondel",4,4
"465","Bradbury",15,4
"466","Braudel",4,4
"467","Brecht",12,4
"468","Cherubini",4,4
"469","Chow",6,4
"470","Christiane Paul",4,4
"471","Cowie",11,4
"472","David Bordwell",4,4
"473","Dawkins",12,4
"474","Dworkin",21,4
"475","Earl of Oxford",4,4
"476","Farina",7,4
"477","Ferrara",4,4
"478","Harder",6,4
"479","Hardt",4,4
"480","Harold Innis",4,4
"481","Haskell",4,4
"482","Hassan",4,4
"483","Herbst",7,4
"484","Hook",20,4
"485","Jacques Ellul",4,4
"486","Kiesler",11,4
"487","Lara",10,4
"488","Lefebvre",4,4
"489","Ljung",4,4
"490","Lorenz",19,4
"491","Mackay",5,4
"492","Mandel",4,4
"493","McBride",4,4
"494","McKee",4,4
"495","Mikhail Bakhtin",4,4
"496","Moya Bailey",5,4
"497","Patrick Suppes",4,4
"498","Prosser",4,4
"499","Rahn",6,4
"500","Ray Bradbury",4,4
"501","Reeves",5,4
"502","Resnick",6,4
"503","Sim",23,4
"504","Starr",4,4
"505","Stefan Kostka",4,4
"506","Suppes",13,4
"507","Suzuki",14,4
"508","Trollope",24,4
"509","Vitruvius",7,4
"510","Alan Moore",11,3
"511","Alberti",40,3
"512","Allais",4,3
"513","Arnheim",7,3
"514","Belle",5,3
"515","Benedetti",3,3
"516","Birkhoff",8,3
"517","Blanchard",4,3
"518","Boulez",3,3
"519","Caplan",9,3
"520","Carver",13,3
"521","Cass",6,3
"522","Cassiodorus",4,3
"523","Champlin",4,3
"524","Chew",4,3
"525","Christie",5,3
"526","Cohn",3,3
"527","Cooke",3,3
"528","Crittenden",3,3
"529","Dilthey",3,3
"530","Douglas Rushkoff",3,3
"531","Eagleton",5,3
"532","Ebert",3,3
"533","Eros",3,3
"534","Eugene Thacker",3,3
"535","Follett",6,3
"536","Fraenkel",6,3
"537","Fromm",5,3
"538","Gage",4,3
"539","Galilei",3,3
"540","Gerbner",8,3
"541","Ghosh",46,3
"542","Harwood",3,3
"543","Hawkes",6,3
"544","Haywood",37,3
"545","Holloway",5,3
"546","Holman",5,3
"547","Huberman",7,3
"548","Juhasz",8,3
"549","Julia Kristeva",4,3
"550","Kaufmann",4,3
"551","Kerr",3,3
"552","Kleene",3,3
"553","Kliman",3,3
"554","Kolb",4,3
"555","Kolmogorov",3,3
"556","Lampert",3,3
"557","Lavoie",3,3
"558","Lewis Mumford",3,3
"559","Lindquist",4,3
"560","Lorde",4,3
"561","Lotman",6,3
"562","Luhmann",8,3
"563","Malinowski",4,3
"564","Mercator",4,3
"565","Milton Babbitt",3,3
"566","Ogburn",3,3
"567","Padova",4,3
"568","Pain",3,3
"569","Paul de Man",3,3
"570","Phelps",3,3
"571","Pierre Bourdieu",4,3
"572","Pythagoras",5,3
"573","Ramirez",4,3
"574","Richard Dawkins",3,3
"575","Rodrigues",5,3
"576","San Juan",4,3
"577","Sand",5,3
"578","Schoenberg",3,3
"579","Schumacher",3,3
"580","Sekine",11,3
"581","Sergei Eisenstein",3,3
"582","Speer",6,3
"583","Stam",4,3
"584","Sternberg",3,3
"585","Stiegler",6,3
"586","Tron",4,3
"587","Warren Weaver",5,3
"588","Waugh",3,3
"589","Welch",4,3
"590","Wille",8,3
"591","Willems",4,3
"592","Agricola",3,2
"593","Akrich",5,2
"594","Antonio Gramsci",2,2
"595","Ashby",2,2
"596","Audre Lorde",3,2
"597","Babbitt",3,2
"598","Baran",2,2
"599","Baudry",2,2
"600","Bazin",2,2
"601","Bellman",2,2
"602","Benedetto",2,2
"603","Bertolt Brecht",3,2
"604","Blackmore",2,2
"605","Bryson",2,2
"606","Cage",2,2
"607","Callon",3,2
"608","Carl Czerny",3,2
"609","Casa",5,2
"610","Cavanagh",2,2
"611","Charles Sanders Peirce",2,2
"612","Cheney",3,2
"613","Crenshaw",8,2
"614","Czerny",9,2
"615","d'Alembert",2,2
"616","David Harvey",2,2
"617","Dawes",12,2
"618","de Man",3,2
"619","Debord",6,2
"620","Donato",2,2
"621","Downs",2,2
"622","Draper",3,2
"623","Dressler",2,2
"624","Drummond",3,2
"625","Dun",4,2
"626","Elizabeth Grosz",2,2
"627","Feeney",2,2
"628","Ferreira",4,2
"629","Fredric Jameson",2,2
"630","Friedrich Nietzsche",2,2
"631","Gabel",6,2
"632","Garrard",2,2
"633","George Orwell",2,2
"634","Gerhardt",2,2
"635","Gottfried Keller",2,2
"636","Gramsci",2,2
"637","Grau",7,2
"638","Greenwood",2,2
"639","Halperin",2,2
"640","Hauptmann",2,2
"641","Herz",2,2
"642","Hillis Miller",2,2
"643","Horne",8,2
"644","Hosmer",2,2
"645","Huffman",3,2
"646","Ince",4,2
"647","Isbell",3,2
"648","Ishmael",2,2
"649","Itoh",3,2
"650","Jakobsen",2,2
"651","Jean-Luc Nancy",2,2
"652","Jean Baudrillard",2,2
"653","John Searle",2,2
"654","Kleinberg",8,2
"655","Kling",4,2
"656","Knapp",2,2
"657","Kracauer",22,2
"658","Krippendorff",2,2
"659","Kroker",7,2
"660","Kumar",2,2
"661","Lenin",2,2
"662","Lim",4,2
"663","Lorber",2,2
"664","Lovejoy",2,2
"665","Macfarlane",2,2
"666","MacKay",4,2
"667","Maher",3,2
"668","Mark Poster",2,2
"669","McAdams",2,2
"670","McNally",3,2
"671","Mehdi",2,2
"672","Merleau-Ponty",3,2
"673","Merton",2,2
"674","Michael Bull",3,2
"675","Michael Hardt",2,2
"676","Michael Warner",2,2
"677","Montag",3,2
"678","Moritz",2,2
"679","Motte",10,2
"680","Nancy Fraser",2,2
"681","Neil Postman",3,2
"682","Niklas Luhmann",2,2
"683","O'Keefe",2,2
"684","Palladio",2,2
"685","Perret",2,2
"686","Pierre Boulez",2,2
"687","Pierre Schaeffer",3,2
"688","Pohl",2,2
"689","Quincy",2,2
"690","Reichardt",2,2
"691","Rival",2,2
"692","Rothman",3,2
"693","Rushkoff",6,2
"694","Ruskin",2,2
"695","Sallis",2,2
"696","Scanlon",2,2
"697","Schachter",2,2
"698","Schramm",5,2
"699","Sedgwick",2,2
"700","Sheehan",2,2
"701","Showalter",4,2
"702","Siegfried Zielinski",2,2
"703","Sontag",4,2
"704","Stacey",3,2
"705","Swinney",2,2
"706","Symonds",4,2
"707","Terry Eagleton",2,2
"708","Todorov",2,2
"709","Toscano",2,2
"710","Tyrrell",2,2
"711","Unruh",3,2
"712","van Leeuwen",2,2
"713","von Neumann",9,2
"714","Warnock",2,2
"715","Whiting",3,2
"716","Wilmot",2,2
"717","Ziegler",2,2
"718","Zielinski",2,2
"719","Abramson",1,1
"720","Adkins",1,1
"721","Agamben",9,1
"722","Albertus Magnus",1,1
"723","Althusser",2,1
"724","Amin",1,1
