"","keyword","tf","df"
"1095","Muris",1,1
"1096","Naomi Schor",1,1
"1097","Neave",2,1
"1098","Nechvatal",1,1
"1099","Negri",1,1
"1100","Nicholas Garnham",1,1
"1101","Nickell",6,1
"1102","Nicole Ellison",1,1
"1103","Nordström",4,1
"1104","Notker Labeo",1,1
"1105","Nyquist",1,1
"1106","O'Regan",1,1
"1107","of Arezzo",1,1
"1108","Ohta",1,1
"1109","Oster",1,1
"1110","Otto Neurath",1,1
"1111","Palumbo",1,1
"1112","Panitch",1,1
"1113","Papapetrou",1,1
"1114","Passmore",1,1
"1115","Paul Kennedy",1,1
"1116","Peet",1,1
"1117","Pellegrini",5,1
"1118","Percival",1,1
"1119","Peter Dixon",2,1
"1120","Peter Lyman",1,1
"1121","Petrović",1,1
"1122","Pettman",1,1
"1123","Phipps",1,1
"1124","Pias",11,1
"1125","Piro",2,1
"1126","Pitirim Sorokin",1,1
"1127","Pollen",1,1
"1128","Popov",1,1
"1129","Postman",4,1
"1130","Povinelli",3,1
"1131","Pudovkin",1,1
"1132","Quantz",1,1
"1133","Quatremère de Quincy",1,1
"1134","Quijano",2,1
"1135","Rameau",1,1
"1136","Raphael Samuel",1,1
"1137","Rem Koolhaas",1,1
"1138","Reti",1,1
"1139","Rey Chow",1,1
"1140","Richard Kennedy",1,1
"1141","Rinaldi",1,1
"1142","Roeper",1,1
"1143","Ronat",1,1
"1144","Ross Ashby",1,1
"1145","Rössler",1,1
"1146","Rovner",2,1
"1147","Roxane Gay",1,1
"1148","Rudolf Arnheim",1,1
"1149","Rudolph Reti",2,1
"1150","Rutter",1,1
"1151","Sam Harris",1,1
"1152","Sandoval",4,1
"1153","Sarah Cook",1,1
"1154","Sargeant",2,1
"1155","Sarris",6,1
"1156","Schillinger",1,1
"1157","Schmucker",1,1
"1158","Schoell",1,1
"1159","Schreier",1,1
"1160","Schröder",1,1
"1161","Schützenberger",1,1
"1162","Seger",1,1
"1163","Semper",1,1
"1164","Seyla Benhabib",1,1
"1165","Shastri",1,1
"1166","Shaviro",5,1
"1167","Sheila Cavanagh",1,1
"1168","Siegfried Kracauer",1,1
"1169","Simon Buckingham",3,1
"1170","Smale",2,1
"1171","Sokolov",1,1
"1172","Sollers",1,1
"1173","Sonnenschein",1,1
"1174","Sorel",1,1
"1175","Sorge",1,1
"1176","Spielberg",1,1
"1177","Spivak",1,1
"1178","Standish",1,1
"1179","Stead",1,1
"1180","Steven Shaviro",1,1
"1181","Steven Spielberg",1,1
"1182","Stokowski",2,1
"1183","Strate",1,1
"1184","Sylvan",1,1
"1185","Tarasov",1,1
"1186","Tassinari",1,1
"1187","Tavernor",2,1
"1188","Taylor Coleridge",1,1
"1189","Telemann",1,1
"1190","Teresa de Lauretis",1,1
"1191","Thomas Elsaesser",1,1
"1192","Togliatti",1,1
"1193","Tomoko Ohta",1,1
"1194","Toynbee",3,1
"1195","Tymoczko",2,1
"1196","Tzvetan Todorov",1,1
"1197","Unger",3,1
"1198","van Eemeren",3,1
"1199","Viktor Shklovsky",1,1
"1200","Vsevolod Pudovkin",1,1
"1201","Wallerstein",3,1
"1202","Walter Murch",1,1
"1203","Wassily Leontief",1,1
"1204","Watterson",1,1
"1205","Wendt",1,1
"1206","Wendy Brown",2,1
"1207","Westphal",1,1
"1208","Whittle",2,1
"1209","Wilbur Schramm",1,1
"1210","Wilden",2,1
"1211","Wilson Jones",6,1
"1212","Wythoff",2,1
"1213","Yandle",1,1
"1214","Zalta",1,1
"1215","Zarlino",1,1
"1216","Zeigler",2,1
