"","keyword","tf","df"
"273","Lucy",30,18
"274","Peirce",75,18
"275","Walther",26,18
"276","Berger",25,17
"277","Bowman",58,17
"278","Bruno Latour",21,17
"279","Buchanan",23,17
"280","Cologne",24,17
"281","Curtis",22,17
"282","Egan",34,17
"283","Ellison",43,17
"284","Firenze",93,17
"285","Flores",29,17
"286","Forest",27,17
"287","Hay",91,17
"288","Holloway",36,17
"289","hooks",22,17
"290","Hutchinson",24,17
"291","Lambert",23,17
"292","Orwell",34,17
"293","Pound",24,17
"294","Rousseau",27,17
"295","Thornton",32,17
"296","Wheeler",22,17
"297","Barber",32,16
"298","Eisenstein",24,16
"299","Gay",20,16
"300","Haas",26,16
"301","Hartley",22,16
"302","Kristeva",31,16
"303","Neal",25,16
"304","Parsons",35,16
"305","Poster",30,16
"306","Turkle",47,16
"307","Ahmad",15,15
"308","Barnett",22,15
"309","Chestnut",19,15
"310","Chisholm",28,15
"311","Costa",24,15
"312","Delany",25,15
"313","Emmanuel",17,15
"314","Fitting",24,15
"315","Francis Bacon",41,15
"316","Hamming",35,15
"317","Hartman",27,15
"318","Kumar",31,15
"319","Lange",26,15
"320","Levine",21,15
"321","Rissanen",25,15
"322","Searle",19,15
"323","Sharp",19,15
"324","Swanson",30,15
"325","Walter Benjamin",18,15
"326","Alan Turing",17,14
"327","Bridges",17,14
"328","Cowie",24,14
"329","Cutting",22,14
"330","Hale",18,14
"331","Hanson",17,14
"332","Harman",28,14
"333","Hegel",23,14
"334","Ho",27,14
"335","Jacques Derrida",17,14
"336","Lai",31,14
"337","Magnus",16,14
"338","Massey",21,14
"339","McLeod",19,14
"340","Ni",20,14
"341","Noam Chomsky",15,14
"342","Norris",23,14
"343","Olson",35,14
"344","Reich",34,14
"345","Roman Jakobson",15,14
"346","Christensen",15,13
"347","Dubois",14,13
"348","Engel",22,13
"349","Engels",22,13
"350","Ferguson",28,13
"351","Greenwood",21,13
"352","Horowitz",29,13
"353","Kaufman",29,13
"354","Lacan",176,13
"355","Levinson",22,13
"356","Mei",29,13
"357","Popper",23,13
"358","Ruiz",18,13
"359","Waters",31,13
"360","Webb",41,13
"361","Zadeh",24,13
"362","Adorno",22,12
"363","Bernhard",13,12
"364","Bloch",31,12
"365","Boethius",27,12
"366","Cherry",18,12
"367","Cohn",31,12
"368","Faber",19,12
"369","Farmer",20,12
"370","Kaufmann",21,12
"371","Mandelbrot",21,12
"372","Mayer",20,12
"373","Northrop Frye",13,12
"374","O'Connor",16,12
"375","Pool",20,12
"376","Reeves",18,12
"377","Rings",19,12
"378","Rodríguez",31,12
"379","Steinberg",16,12
"380","Terry Winograd",13,12
"381","Ahmed",12,11
"382","Bart",12,11
"383","Berman",17,11
"384","Eagleton",14,11
"385","Feigenbaum",18,11
"386","Gallagher",28,11
"387","Harding",20,11
"388","Hicks",34,11
"389","Kelley",23,11
"390","Kolmogorov",37,11
